                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.98081,                0.53314,                0.97995,                0.95783,                0.91392,                0.96888,                0.65754,                 1.1211,                0.53374,                 1.0508,              0.0096783,              0.0096783,              0.0096783
                     68,                 1.0132,                0.53745,                0.99324,                0.94085,                0.92674,                0.97265,                0.67509,                 1.0648,                0.52418,                 1.0357,              0.0096733,              0.0096733,              0.0096733
                     69,                0.99654,                0.52867,                0.98361,                 0.9528,                0.95238,                 0.9841,                0.67412,                 1.1039,                0.51128,                 1.0396,              0.0096684,              0.0096684,              0.0096684
                     70,                0.98935,                0.52807,                0.98529,                 0.9442,                0.92965,                 0.9811,                0.68238,                 1.0697,                0.51816,                 1.0276,              0.0096634,              0.0096634,              0.0096634
                     71,                 1.0024,                0.53633,                0.99547,                0.95733,                0.93773,                 0.9769,                0.65548,                 1.1346,                0.53698,                 1.0418,              0.0096585,              0.0096585,              0.0096585
                     72,                 1.0104,                0.54822,                0.99176,                0.94313,                 0.9359,                0.97563,                0.67081,                 1.0876,                0.50925,                 1.0451,              0.0096535,              0.0096535,              0.0096535
                     73,                0.97584,                0.51788,                0.98015,                0.96475,                 0.9359,                0.98495,                0.68966,                 1.0442,                0.51695,                 1.0217,              0.0096486,              0.0096486,              0.0096486
                     74,                0.97496,                0.52762,                0.98867,                0.95095,                0.92324,                0.97491,                0.61686,                 1.2174,                0.54326,                 1.0835,              0.0096436,              0.0096436,              0.0096436
                     75,                0.97215,                0.52903,                0.97606,                 0.9568,                0.93305,                0.97122,                0.65418,                 1.1166,                0.53655,                 1.0498,              0.0096387,              0.0096387,              0.0096387
                     76,                0.97644,                0.51446,                0.98533,                0.95829,                0.94322,                0.97973,                0.67381,                 1.0774,                0.50968,                 1.0282,              0.0096337,              0.0096337,              0.0096337
                     77,                0.96761,                0.51299,                0.97262,                0.94612,                0.90049,                0.96443,                0.67222,                 1.0795,                0.52459,                  1.046,              0.0096288,              0.0096288,              0.0096288
                     78,                0.97524,                0.51412,                0.97518,                  0.951,                0.91758,                0.96714,                0.66946,                 1.0719,                0.50227,                  1.023,              0.0096238,              0.0096238,              0.0096238
                     79,                 0.9634,                0.52199,                0.96192,                0.97172,                0.95238,                 0.9852,                0.69835,                 1.0263,                0.48829,                 1.0128,              0.0096188,              0.0096188,              0.0096188
                     80,                0.95014,                0.51606,                0.98038,                0.98034,                0.91325,                0.98023,                0.67543,                 1.0686,                0.50834,                 1.0396,              0.0096139,              0.0096139,              0.0096139
                     81,                0.97576,                 0.5193,                0.98649,                0.92197,                0.92674,                 0.9629,                0.62541,                 1.1792,                0.55128,                   1.08,               0.009609,               0.009609,               0.009609
                     82,                0.95324,                0.51479,                  0.977,                 0.9528,                0.94505,                0.98266,                0.68341,                 1.0708,                0.49289,                 1.0348,               0.009604,               0.009604,               0.009604
                     83,                0.96652,                0.51203,                0.98009,                 0.9765,                0.94689,                0.98227,                0.68377,                 1.0568,                0.48285,                 1.0378,               0.009599,               0.009599,               0.009599
                     84,                0.95526,                0.50447,                0.97256,                0.95174,                0.93917,                0.97959,                0.67439,                 1.0963,                0.50978,                 1.0561,              0.0095941,              0.0095941,              0.0095941
                     85,                0.95849,                 0.5066,                0.98105,                0.97185,                0.93773,                0.98362,                0.70597,                 1.0417,                0.49014,                 1.0303,              0.0095892,              0.0095892,              0.0095892
                     86,                0.95015,                0.49968,                0.96607,                0.93113,                0.92857,                0.97344,                0.67194,                 1.1203,                0.52236,                 1.0432,              0.0095842,              0.0095842,              0.0095842
                     87,                0.93378,                0.50289,                0.97133,                0.95693,                0.92125,                0.97579,                0.66734,                 1.1097,                0.51626,                 1.0591,              0.0095793,              0.0095793,              0.0095793
                     88,                0.93881,                 0.4993,                0.96152,                 0.9607,                0.94013,                 0.9796,                 0.6952,                 1.0418,                0.49802,                  1.027,              0.0095743,              0.0095743,              0.0095743
                     89,                0.94769,                0.51082,                0.97851,                0.95764,                0.95225,                0.98049,                0.68983,                 1.0459,                0.48482,                 1.0299,              0.0095694,              0.0095694,              0.0095694
                     90,                0.95794,                0.51125,                0.98473,                0.95311,                0.91941,                0.97055,                0.67454,                 1.0693,                0.52155,                 1.0276,              0.0095644,              0.0095644,              0.0095644
                     91,                0.93464,                0.49642,                0.97056,                0.95701,                0.93768,                0.97097,                0.67434,                 1.0784,                0.49458,                 1.0415,              0.0095595,              0.0095595,              0.0095595
