                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.97393,                0.53776,                0.93901,                0.95373,                0.90606,                0.95432,                0.63262,                  1.128,                0.57955,                  1.009,               0.009208,               0.009208,               0.009208
                     83,                0.98126,                0.54097,                0.94245,                 0.9467,                0.94332,                0.97928,                0.66573,                 1.1048,                0.53857,                0.99587,              0.0091981,              0.0091981,              0.0091981
                     84,                0.96806,                 0.5341,                0.94016,                0.98818,                0.91891,                0.97681,                0.66938,                 1.0885,                0.53055,                0.99054,              0.0091882,              0.0091882,              0.0091882
                     85,                0.98356,                0.53744,                0.94322,                0.97293,                0.92148,                0.97199,                 0.6817,                 1.0435,                0.50695,                 0.9756,              0.0091783,              0.0091783,              0.0091783
                     86,                0.96354,                0.52064,                 0.9295,                0.96953,                0.93248,                0.97865,                0.68786,                 1.0638,                0.52219,                0.97739,              0.0091684,              0.0091684,              0.0091684
                     87,                  0.952,                0.52874,                0.94226,                0.95593,                0.95338,                 0.9842,                0.68975,                 1.0428,                0.50966,                0.97924,              0.0091585,              0.0091585,              0.0091585
                     88,                0.94914,                0.52381,                0.92743,                0.93982,                0.94395,                0.97541,                0.66512,                 1.1181,                0.52334,                 1.0115,              0.0091486,              0.0091486,              0.0091486
                     89,                0.96059,                0.52717,                 0.9414,                0.94811,                0.94872,                0.97532,                 0.6683,                  1.112,                0.52275,                0.99803,              0.0091387,              0.0091387,              0.0091387
                     90,                0.96554,                0.53507,                0.94238,                0.96605,                0.94322,                0.98045,                0.67653,                 1.0947,                0.53313,                0.99319,              0.0091288,              0.0091288,              0.0091288
                     91,                0.94804,                 0.5246,                0.92881,                 0.9714,                0.93301,                0.97502,                0.68864,                 1.0727,                0.51503,                0.97897,              0.0091189,              0.0091189,              0.0091189
                     92,                0.95605,                0.52525,                0.92898,                0.96804,                 0.9431,                0.97757,                0.68768,                 1.0413,                0.50992,                0.97646,               0.009109,               0.009109,               0.009109
                     93,                 0.9772,                0.52665,                0.93702,                0.97445,                0.90818,                0.97332,                 0.6706,                 1.0871,                0.54454,                0.98755,              0.0090991,              0.0090991,              0.0090991
                     94,                 0.9502,                0.52861,                0.92906,                0.96566,                0.92706,                0.97791,                0.69184,                 1.0894,                0.51884,                0.98794,              0.0090892,              0.0090892,              0.0090892
                     95,                0.95217,                0.52844,                0.92407,                0.95199,                0.94429,                0.98271,                0.69765,                 1.0359,                0.50726,                0.97594,              0.0090793,              0.0090793,              0.0090793
