                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.1787,                0.67242,                 1.0109,                 0.9583,                0.92596,                0.97519,                 0.6572,                 1.0993,                0.59527,                 1.0022,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.1452,                  0.654,                0.99425,                0.93291,                0.91758,                0.96585,                0.66378,                 1.1033,                0.59839,                 1.0108,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.1503,                0.66761,                 1.0053,                0.93104,                0.91209,                0.96857,                 0.6364,                 1.1981,                0.62196,                  1.045,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.1745,                0.66589,                0.99918,                0.93441,                 0.9011,                0.96979,                0.63467,                  1.194,                0.63494,                 1.0314,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.1442,                 0.6588,                0.98546,                0.93127,                0.89341,                0.95836,                  0.627,                 1.1893,                0.65053,                 1.0399,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.1282,                0.64503,                0.98085,                0.94774,                0.91026,                0.96249,                 0.6212,                 1.2044,                0.63818,                 1.0219,              0.0095149,              0.0095149,              0.0095149
                     52,                  1.132,                0.65624,                0.99717,                0.92626,                0.90842,                0.95956,                0.62761,                 1.1833,                0.63255,                 1.0257,               0.009505,               0.009505,               0.009505
                     53,                 1.1121,                0.64831,                0.98614,                0.95086,                0.88095,                0.96266,                0.63345,                 1.1726,                0.63926,                 1.0204,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.1476,                0.65377,                0.98237,                 0.9103,                0.88645,                0.93996,                0.61593,                 1.1819,                0.67403,                 1.0315,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.1198,                 0.6379,                0.98963,                0.94883,                0.92308,                 0.9758,                0.64795,                 1.1193,                0.59345,                 1.0107,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.1223,                0.63604,                0.99565,                0.93655,                0.91941,                0.96688,                0.63401,                 1.1595,                0.61065,                 1.0316,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.1057,                0.61768,                0.98246,                0.93947,                0.90957,                0.96425,                0.63442,                 1.1389,                0.62271,                 1.0183,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.1308,                0.64105,                0.98496,                0.92723,                0.92308,                0.96639,                0.64413,                 1.1159,                0.59702,                 1.0013,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.1228,                 0.6269,                0.98056,                0.93893,                0.92925,                0.97452,                0.65611,                 1.1302,                0.58972,                  1.006,              0.0094357,              0.0094357,              0.0094357
